,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,WIPRO
ASIANPAINT,0.14434873203404697,0.0029279245626156057,0.002503811117914827,0.001835320442562582,0.0011191476127252729,0.0024815173169538715,0.0019907893139301394,0.0017663325617742962,0.0028032409457536974,0.0010703871945321798,0.0014820301878960202,0.0023360176687303607,0.0024972460962969147,0.002663001913303346,0.0022262541171199964,0.002233407855056831,0.0023189423667219016,0.0013813188077342632,0.0010559862163599654,0.0011099245118746043
AXISBANK,0.002927924562615606,0.15079760957869154,0.005257852010906627,0.002961126587256805,0.0022321947380314596,0.004911331889295658,0.004530087349923778,0.001875706473683022,0.008297033915100359,0.0022524582525740786,0.0022699742084764172,0.0049029213684916705,0.0059666529661779035,0.004740759668898984,0.0020018064492788004,0.004170980314272212,0.007252534809547231,0.0022347523939876316,0.0018294275869731957,0.0019194363685749666
BAJFINANCE,0.002503811117914827,0.005257852010906627,0.1519432196800849,0.002528341823682325,0.001508297427134381,0.004190223130555575,0.003270732183552895,0.0019498457928649941,0.00476772177022022,0.0016950471984786856,0.0021262305691398726,0.003995388767528012,0.0038849952401735963,0.003969573962719839,0.002319054610811158,0.003223466209422541,0.004620668430706271,0.0018858744853601638,0.001506606184234757,0.0014210909129006915
BHARTIARTL,0.001835320442562582,0.002961126587256805,0.002528341823682325,0.14835214817924924,0.0012201114705135603,0.0026770991492631197,0.0021916562948462964,0.0013434460121155736,0.0033339646191451024,0.0015227678668000148,0.0017876142932883217,0.0022674117540889796,0.002887532195920206,0.002280783057419692,0.0007814470916920717,0.0026781147087876216,0.003317456117450188,0.0015218710553637194,0.001207782543405114,0.00118992356892045
HCLTECH,0.0011191476127252729,0.0022321947380314596,0.001508297427134381,0.0012201114705135603,0.14603033561442744,0.0019914247839319683,0.0016514367455474637,0.0013714511125847637,0.0023201093298446615,0.003711109011795867,0.0013167978336854603,0.0017531771194672693,0.0017473954269833188,0.0015972552787704023,0.00043015357086485854,0.002227497348395642,0.0016825695485531656,0.001399627419233695,0.0037994825686216813,0.0033706927362041365
HDFC,0.0024815173169538715,0.004911331889295658,0.004190223130555575,0.0026770991492631197,0.0019914247839319683,0.1456999230358943,0.004157069866071689,0.0017919073519842726,0.004941699975882077,0.001978923841665523,0.0025004774746754483,0.004090065642131648,0.0038082515956093846,0.0033074063521056304,0.0007036672648661633,0.003190316177540856,0.004232130443230523,0.001745178892721397,0.0017557627737188489,0.0016744599727046177
HDFCBANK,0.0019907893139301394,0.004530087349923778,0.003270732183552895,0.0021916562948462964,0.0016514367455474637,0.004157069866071689,0.14301789907886392,0.0015489592867776781,0.0043865962752099785,0.0016694555883428276,0.0019570346216488794,0.0038965501248257486,0.0035524172057384545,0.002858816580017247,0.0011203814868647,0.002918946550121774,0.0035600773939880185,0.001617972914335848,0.001528973922548089,0.0013489433931171283
HINDUNILVR,0.0017663325617742962,0.001875706473683022,0.0019498457928649941,0.0013434460121155736,0.0013714511125847637,0.0017919073519842726,0.0015489592867776781,0.14362813130393356,0.0019378849304269473,0.0011655012835161884,0.0016364576501890298,0.0018669855160654799,0.0016002679286317364,0.0017850464717901117,0.001982534985221187,0.0017827230894148366,0.0014409431622273332,0.001238606377557186,0.0011711179998261441,0.0011966539250165904
ICICIBANK,0.0028032409457536974,0.008297033915100359,0.00476772177022022,0.0033339646191451024,0.0023201093298446615,0.004941699975882077,0.0043865962752099785,0.0019378849304269473,0.14952405906822497,0.0023544245005447826,0.0025377350072395485,0.004698645081201112,0.005659340951419801,0.0042548511007591645,0.0010149951527836888,0.004285209256549407,0.007822121349967473,0.002197487197268818,0.00200906799149391,0.00201227278516254
INFY,0.0010703871945321798,0.0022524582525740786,0.0016950471984786856,0.0015227678668000148,0.003711109011795867,0.001978923841665523,0.0016694555883428276,0.0011655012835161884,0.0023544245005447826,0.14574445667836516,0.0011431931260394161,0.0018019426704524873,0.0018209394429133886,0.0013485278346602792,0.00021510894110687574,0.001893622220205162,0.0018248628700355042,0.0013055193089241799,0.0037097566119340436,0.0032172979794800874
ITC,0.0014820301878960202,0.0022699742084764172,0.0021262305691398726,0.0017876142932883217,0.0013167978336854603,0.0025004774746754483,0.0019570346216488794,0.0016364576501890296,0.0025377350072395485,0.0011431931260394161,0.1441313649683033,0.0019341798792882735,0.00203817206921684,0.001655261466663777,0.0009918667829359217,0.0017142134557252007,0.002236090798563857,0.0014193108596926185,0.0013825845277546122,0.0011798890034188823
KOTAKBANK,0.0023360176687303607,0.0049029213684916705,0.003995388767528012,0.0022674117540889796,0.0017531771194672693,0.004090065642131648,0.0038965501248257486,0.0018669855160654799,0.004698645081201112,0.0018019426704524875,0.0019341798792882735,0.14572039345442428,0.003985438723144654,0.0031490386012546236,0.0009438673849566327,0.003416380997230034,0.003954512521544588,0.001849759458894093,0.0016353002740817696,0.0015460880089445681
LT,0.0024972460962969147,0.0059666529661779035,0.0038849952401735963,0.002887532195920206,0.001747395426983319,0.0038082515956093846,0.0035524172057384545,0.0016002679286317364,0.005659340951419801,0.0018209394429133886,0.00203817206921684,0.003985438723144654,0.14637966920341683,0.0037570526549144134,0.001444057789847656,0.003496707116708467,0.005427783158825583,0.0018587659160960981,0.001471480200079327,0.0015413938254188035
MARUTI,0.002663001913303346,0.004740759668898984,0.003969573962719839,0.002280783057419692,0.0015972552787704023,0.0033074063521056304,0.002858816580017247,0.0017850464717901117,0.0042548511007591645,0.0013485278346602792,0.001655261466663777,0.0031490386012546236,0.0037570526549144134,0.14632236790666908,0.0008400797624634067,0.0030645605111790397,0.004000516659655561,0.0015150305840283308,0.0011445181357913699,0.0012100271208318485
